Method,Mean IoU (all),Accuracy,Mean IoU (IoU>=0.7),Passed,Total
persamf,0.3697966432845306,0.3486238532110092,0.8414146524684891,38,109
our_persamf,0.5840844595791495,0.5596330275229358,0.8478081730750059,61,109
our_persamf_augment_rotate_90,0.26935750032038513,0.22018348623853212,0.8498196622958923,24,109
our_persamf_augment_rotate_270,0.35073475890282296,0.3394495412844037,0.8388226134590516,37,109
